시설명,대표자,연락처,주소,지도자,시설면적,운동종류,장애종류,강의명,시간,요일,강사명,기간,차량지원,장애 지원시설,수강료
A미코스텔라 인라인클럽(인라인강습),안종호,010-6357-2365,울산광역시 남구 신복로72번길 28-23 6층,3명,474 ㎡,롤러인라인,"지체, 청각/언어, 지적/자폐, 기타",[12월] 미코스텔라 인라인클럽(인라인강습),06:00 ~ 21:00,"월,화,수,목,금,토,일",안종호,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인전용 주차구역","100,000"
EG태권도,박용성,02-333-3525,부산광역시 북구 덕천로 308 농협3층MTA E.G태권도,2명,100 ㎡,태권도,"지체, 청각/언어, 기타","[12월] 줄넘기,태권도",10:00 ~ 22:00,"월,화,수,목,금",김현주,2020.12.01 ~ 2020.12.10,지원,,"80,000"
FC CANNON,곽완섭,053-783-0337,대구광역시 수성구 달구벌대로528길 15 수성대학교 숲속운동장 사무실(만촌동),0명,3000 ㎡,축구,"지체, 시각, 청각/언어, 지적/자폐, 뇌병변, 기타",[12월] 축구,13:00 ~ 21:00,"월,화,수,목,금,토",송진근,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인전용 주차구역,주출입구 단차없음","80,000"
"GMA해동검도,합기도",이종필,031-665-2587,"경기도 평택시 경기대로 1525 2층 GMA해동검도,합기도(지산동)",1명,165 ㎡,합기도,"지체, 기타",[12월] GMA합기도,14:00 ~ 22:00,"월,화,수,목,금",이종필,2020.12.01 ~ 2020.12.10,지원,,"80,000"
GX짱가휘트니스 ,강승희 ,033-257-7283,강원도 춘천시 동면 춘천로 455 4층,3명,330 ㎡,기타종목,"지적/자폐, 기타",[12월] 라인댄스,11:00 ~ 11:40,"월,수,금",강승희,2020.12.01 ~ 2020.12.10,지원,"장애인용 엘리베이터,장애인전용 주차구역","120,000"
GX짱가휘트니스 ,강승희 ,033-257-7283,강원도 춘천시 동면 춘천로 455 4층,3명,330 ㎡,기타종목,"지적/자폐, 기타",[12월] 이지스피닝,11:00 ~ 11:40,"화,목",강승희,2020.12.01 ~ 2020.12.10,지원,"장애인용 엘리베이터,장애인전용 주차구역","120,000"
GX짱가휘트니스 ,강승희 ,033-257-7283,강원도 춘천시 동면 춘천로 455 4층,3명,330 ㎡,기타종목,기타,[12월] 트렘폴린댄스,10:00 ~ 10:40,"월,수,금",강승희,2020.12.01 ~ 2020.12.10,지원,"장애인용 엘리베이터,장애인전용 주차구역","120,000"
JJ댄스스쿨,이은실,053-781-9800,대구광역시 수성구 용학로 293 3층 JJ댄스스쿨(지산동),0명,260 ㎡,댄스,"지체, 청각/언어, 지적/자폐",[12월] 다이어트댄스,20:00 ~ 22:00,"월,수,금",이은실,2020.12.01 ~ 2020.12.10,미지원,,"80,000"
JJ댄스스쿨,이은실,053-781-9800,대구광역시 수성구 용학로 293 3층 JJ댄스스쿨(지산동),0명,260 ㎡,댄스,"지체, 청각/언어, 지적/자폐",[12월] 방송댄스,19:00 ~ 21:00,"월,수,금",이은실,2020.12.01 ~ 2020.12.10,미지원,,"80,000"
JJ댄스스쿨,이은실,053-781-9800,대구광역시 수성구 용학로 293 3층 JJ댄스스쿨(지산동),0명,260 ㎡,댄스,"지체, 청각/언어, 지적/자폐",[12월] 오전 다이어트 댄스,09:40 ~ 10:30,"월,화,수,목,금",이은실,2020.12.01 ~ 2020.12.10,미지원,,"80,000"
JJ댄스스쿨,이은실,053-781-9800,대구광역시 수성구 용학로 293 3층 JJ댄스스쿨(지산동),0명,260 ㎡,댄스,"지체, 청각/언어, 지적/자폐",[12월] 오전 방송댄스,10:40 ~ 11:30,"월,화,수,목,금",이은실,2020.12.01 ~ 2020.12.10,미지원,,"80,000"
JJ댄스스쿨,이은실,053-781-9800,대구광역시 수성구 용학로 293 3층 JJ댄스스쿨(지산동),0명,260 ㎡,댄스,"지체, 청각/언어, 지적/자폐",[12월] 청소년댄스,18:00 ~ 19:50,"월,화,수,목",이은실,2020.12.01 ~ 2020.12.10,미지원,,"80,000"
JJ댄스스쿨,이은실,053-781-9800,대구광역시 수성구 용학로 293 3층 JJ댄스스쿨(지산동),0명,260 ㎡,댄스,"지체, 청각/언어, 지적/자폐",[12월] 토요 어린이,10:40 ~ 12:00,토,김은이,2020.12.01 ~ 2020.12.10,미지원,,"80,000"
JS운동발달센터,정장석,051-807-5511,부산광역시 부산진구 성지로 30-1 4층(연지동),5명,330 ㎡,기타종목,지적/자폐,[12월] 특수수영 그룹반(예빈),19:00 ~ 19:50,금,정장석,2020.12.01 ~ 2020.12.10,미지원,,"80,000"
JS운동발달센터,정장석,051-807-5511,부산광역시 부산진구 성지로 30-1 4층(연지동),5명,330 ㎡,기타종목,"지체, 시각, 청각/언어, 지적/자폐, 뇌병변, 기타",[12월] 특수체육(인라인)-상영-,18:30 ~ 19:20,월,정장석,2020.12.01 ~ 2020.12.10,미지원,,"80,000"
JS운동발달센터,정장석,051-807-5511,부산광역시 부산진구 성지로 30-1 4층(연지동),5명,330 ㎡,기타종목,"지체, 시각, 청각/언어, 지적/자폐, 뇌병변",[12월] 특수체육(인라인)-수민-,18:30 ~ 19:20,"수,금",정장석,2020.12.01 ~ 2020.12.10,미지원,,"80,000"
KAFA휘트니스,방원경,055-643-4661,경상남도 통영시 중앙로 264 송림데파트 상가 5층 501호(북신동),2명,14876033 ㎡,필라테스,"청각/언어, 지적/자폐, 기타",[12월] 소도구 필라테스& 댄스,16:00 ~ 16:50,"월,수","방원경,,방원경",2020.12.01 ~ 2020.12.10,미지원,장애인용 엘리베이터,"80,000"
MTA태권도,김학수,061-461-3579,전라남도 영암군 삼호읍 대불주거로 55-1 3층 MTA태권도,1명,129 ㎡,태권도,"지체, 청각/언어, 지적/자폐",[12월] 태권도,10:00 ~ 20:00,"월,화,수,목,금",김학수,2020.12.01 ~ 2020.12.10,지원,,"80,000"
M핫요가,오윤정,031-592-0288,경기도 남양주시 진접읍 경복대로 253 진접메디컬센터 6층,명, ㎡,요가,지적/자폐,[12월] 요가,19:50 ~ 20:50,"월,화,수,목,금",,2020.12.01 ~ 2020.12.31,미지원,,"80,000"
NAC한국에어로빅,김탐희,043-222-0776,충청북도 청주시 상당구 월평로 224 2012 4층(용암동),1명,115 ㎡,댄스,기타,[12월] 방송댄스,17:30 ~ 18:30,"월,수,금",김탐희,2020.12.01 ~ 2020.12.10,미지원,,"70,000"
NAC한국에어로빅,김탐희,043-222-0776,충청북도 청주시 상당구 월평로 224 2012 4층(용암동),1명,115 ㎡,에어로빅,기타,[12월] 에어로빅,09:30 ~ 10:30,"월,화,수,목,금",김탐희,2020.12.01 ~ 2020.12.10,미지원,,"70,000"
NAC한국에어로빅,김탐희,043-222-0776,충청북도 청주시 상당구 월평로 224 2012 4층(용암동),1명,115 ㎡,에어로빅,기타,[12월] 에어로빅,20:20 ~ 21:20,"월,화,수,목,금",김탐희,2020.12.01 ~ 2020.12.10,미지원,,"70,000"
NAC한국에어로빅,김탐희,043-222-0776,충청북도 청주시 상당구 월평로 224 2012 4층(용암동),1명,115 ㎡,필라테스,기타,[12월] 필라테스,10:40 ~ 11:40,"화,목",김탐희,2020.12.01 ~ 2020.12.10,미지원,,"70,000"
NAC한국에어로빅,김탐희,043-222-0776,충청북도 청주시 상당구 월평로 224 2012 4층(용암동),1명,115 ㎡,필라테스,기타,[12월] 필라테스,19:10 ~ 20:10,"화,목",김탐희,2020.12.01 ~ 2020.12.10,미지원,,"70,000"
ROAD FC 종합격투기,김성일,010-2727-2200,전남 장성군 장성읍 역전로 202 지하1층,명, ㎡,기타종목,"지체, 청각/언어, 지적/자폐",[12월] 격투기교실,17:00 ~ 22:00,"월,화,수,목,금",김성일,2020.12.01 ~ 2020.12.10,지원,,"80,000"
SB휘트니스,최바름,062-575-5751,광주 북구 양산로 33 3층,명, ㎡,헬스,"지체, 시각, 청각/언어, 지적/자폐, 기타",[12월] 헬스,13:00 ~ 22:00,"월,화,수,목,금,토",이수열,2020.12.01 ~ 2020.12.10,미지원,,"80,000"
SRC스포츠센터,민오식,02-871-8232,서울시 관악구 보라매로 44 2층,3명,369 ㎡,수영,"지체, 시각, 청각/언어, 지적/자폐, 뇌병변, 기타",[12월] 장애인선수수영교실,15:00 ~ 15:50,"월,수,금",김성훈,2020.12.01 ~ 2020.12.10,미지원,"장애인용 엘리베이터,장애인전용 주차구역","80,000"
SRC스포츠센터,민오식,02-871-8232,서울시 관악구 보라매로 44 2층,3명,369 ㎡,수영,"지체, 지적/자폐, 뇌병변",[12월] 장애인수영교실,14:00 ~ 14:50,"화,목",최형완,2020.12.01 ~ 2020.12.10,미지원,"장애인용 엘리베이터,장애인전용 주차구역","80,000"
SRC스포츠센터,민오식,02-871-8232,서울시 관악구 보라매로 44 2층,3명,369 ㎡,수영,"지체, 시각, 청각/언어, 지적/자폐, 뇌병변, 기타",[12월] 장애인수영교실,16:00 ~ 16:50,"화,목",송용지,2020.12.01 ~ 2020.12.10,미지원,"장애인용 엘리베이터,장애인전용 주차구역","80,000"
SRC스포츠센터,민오식,02-871-8232,서울시 관악구 보라매로 44 2층,3명,369 ㎡,수영,"지체, 시각, 청각/언어, 지적/자폐, 뇌병변, 기타",[12월] 장애인수중교실,14:00 ~ 14:50,"월,수,금",송용지,2020.12.01 ~ 2020.12.10,미지원,"장애인용 엘리베이터,장애인전용 주차구역","80,000"
TBC당구장,양해순,02-291-7022,대구광역시 남구 대명로 133 2층 TBC당구장(대명동),1명,300 ㎡,기타종목,"지체, 청각/언어, 지적/자폐, 뇌병변, 기타",[12월] 당구교실,11:30 ~ 19:30,"월,수,금",박준현,2020.12.01 ~ 2020.12.10,미지원,장애인용 엘리베이터,"80,000"
TIA 태권도,박은주,02-2696-8374,서울특별시 강서구 화곡로 270 2층(화곡동),1명,151 ㎡,태권도,"지적/자폐, 뇌병변",[12월] 태권도,19:00 ~ 20:00,"월,화,수,목,금",박은주,2020.12.01 ~ 2020.12.10,지원,,"80,000"
TOP용인대박사태권도,김백수,02-898-1551,"서울특별시 금천구 한내로 62 독산한신아파트상가 3층 TOP용인대박사태권도(독산동, 한신아파트)",3명,165 ㎡,태권도,"지체, 시각, 청각/언어, 지적/자폐, 뇌병변, 기타",[12월] TOP용인대박사태권도,14:00 ~ 21:00,"월,화,수,목,금",김경태,2020.12.01 ~ 2020.12.10,지원,,"80,000"
WE토탈휘트니스,신경호,051-332-2000,부산광역시 북구 만덕2로 28 우리마트 2층 WE토탈휘트니스(만덕동),3명,487 ㎡,헬스,"청각/언어, 기타",[12월] 헬스,06:00 ~ 23:00,"월,화,수,목,금",위정현,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역,주출입구 단차없음","80,000"
dreamofjudo 세종유도관,유동훈,044-863-0609,세종특별자치시 보듬3로 100 해피라움1동 304호(아름동),1명,198 ㎡,유도,청각/언어,[12월] 유도수업,14:00 ~ 15:00,월,유동훈,2020.12.01 ~ 2020.12.10,지원,"장애인 화장실,장애인전용 주차구역","160,000"
src재활체육관,조향현,031-799-3893,경기 광주시 초월읍 경수길 25 SRC재활체육관,3명,665 ㎡,배드민턴,"지체, 시각, 청각/언어, 지적/자폐, 뇌병변, 기타",[12월] 배드민턴,09:00 ~ 18:00,"월,화,수,목,금",정병욱,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역,휠체어 대여","40,000"
src재활체육관,조향현,031-799-3893,경기 광주시 초월읍 경수길 25 SRC재활체육관,3명,665 ㎡,기타종목,"지체, 시각, 청각/언어, 지적/자폐, 뇌병변, 기타",[12월] 배드민턴+헬스,06:00 ~ 18:00,"월,화,수,목,금",정병욱,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역,휠체어 대여","40,000"
src재활체육관,조향현,031-799-3893,경기 광주시 초월읍 경수길 25 SRC재활체육관,3명,665 ㎡,기타종목,"지체, 시각, 청각/언어, 지적/자폐, 뇌병변, 기타",[12월] 보치아,09:00 ~ 18:00,"월,화,수,목,금",정병욱,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역,휠체어 대여","40,000"
src재활체육관,조향현,031-799-3893,경기 광주시 초월읍 경수길 25 SRC재활체육관,3명,665 ㎡,수영,"지체, 시각, 청각/언어, 지적/자폐, 뇌병변, 기타",[12월] 장애인 자유수영,06:00 ~ 21:00,"월,화,수,목,금",정병욱,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역,휠체어 대여","40,000"
src재활체육관,조향현,031-799-3893,경기 광주시 초월읍 경수길 25 SRC재활체육관,3명,665 ㎡,헬스,"지체, 시각, 청각/언어, 지적/자폐, 뇌병변, 기타",[12월] 장애인 헬스,06:00 ~ 21:00,"월,화,수,목,금",강희순,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역,휠체어 대여","40,000"
src재활체육관,조향현,031-799-3893,경기 광주시 초월읍 경수길 25 SRC재활체육관,3명,665 ㎡,수영,"지체, 시각, 청각/언어, 지적/자폐, 뇌병변, 기타",[12월] 장애인수영강습,06:00 ~ 21:00,"월,화,수,목,금",이지은,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역,휠체어 대여","40,000"
src재활체육관,조향현,031-799-3893,경기 광주시 초월읍 경수길 25 SRC재활체육관,3명,665 ㎡,수영,"지체, 시각, 청각/언어, 지적/자폐, 뇌병변, 기타",[12월] 장애인수영강습(화목),14:00 ~ 16:00,"화,목",서원,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역,휠체어 대여","40,000"
src재활체육관,조향현,031-799-3893,경기 광주시 초월읍 경수길 25 SRC재활체육관,3명,665 ㎡,헬스,"지체, 시각, 청각/언어, 지적/자폐, 뇌병변, 기타",[12월] 장애인헬스+장애인 자유수영,06:00 ~ 21:00,"월,화,수,목,금","서,원",2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역,휠체어 대여","40,000"
src재활체육관,조향현,031-799-3893,경기 광주시 초월읍 경수길 25 SRC재활체육관,3명,665 ㎡,탁구,"지체, 시각, 청각/언어, 지적/자폐, 뇌병변, 기타",[12월] 탁구,09:00 ~ 18:00,"월,화,수,목,금",정병욱,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역,휠체어 대여","40,000"
src재활체육관,조향현,031-799-3893,경기 광주시 초월읍 경수길 25 SRC재활체육관,3명,665 ㎡,기타종목,"지체, 시각, 청각/언어, 지적/자폐, 뇌병변, 기타",[12월] 탁구+배드민턴,09:00 ~ 18:00,"월,화,수,목,금",정병욱,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역,휠체어 대여","40,000"
src재활체육관,조향현,031-799-3893,경기 광주시 초월읍 경수길 25 SRC재활체육관,3명,665 ㎡,기타종목,"지체, 시각, 청각/언어, 지적/자폐, 뇌병변, 기타",[12월] 탁구+헬스,06:00 ~ 21:00,"월,화,수,목,금",정병욱,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역,휠체어 대여","40,000"
sta경희대삼성태권도,박병호,031-653-5112,경기도 평택시 평남로 933 태성빌딩 5층(비전동),1명,150 ㎡,태권도,"지체, 시각, 청각/언어, 지적/자폐",[12월] 태권도,18:00 ~ 18:45,"월,화,수,목,금",박병호,2020.12.01 ~ 2020.12.10,지원,장애인전용 주차구역,"150,000"
sta경희대삼성태권도,박병호,031-653-5112,경기도 평택시 평남로 933 태성빌딩 5층(비전동),1명,150 ㎡,태권도,"지체, 시각, 청각/언어, 지적/자폐",[12월] 태권도,18:00 ~ 18:45,"화,목",박병호,2020.12.01 ~ 2020.12.10,지원,장애인전용 주차구역,"150,000"
강북아동발달센터,오수옥,053-311-7585,북구 학정로 436 DN트윈스빌딩4층,1명,357 ㎡,기타종목,"지체, 지적/자폐, 뇌병변, 기타",[12월] 특수체육,10:00 ~ 20:00,"월,화,수,목,금",김예빈,2020.12.01 ~ 2020.12.10,미지원,주출입구 단차없음,"80,000"
강북유소년스포츠센터,박승위,010-2810-4842,대구광역시 북구 동암로12길 17 2층(동천동),2명,467 ㎡,축구,"지체, 지적/자폐, 기타",[12월] 축구,13:00 ~ 14:00,일,"구교찬,,김강호",2020.12.01 ~ 2020.12.10,미지원,,"80,000"
강진스포츠클럽,김명남,061-433-7333,전남 강진군 군동면 종합운동장길 60 강진스포츠클럽,1명,1576 ㎡,댄스,"지체, 청각/언어, 지적/자폐",[12월] 댄스,16:00 ~ 18:00,"토,일",최미옥,2020.12.01 ~ 2020.12.10,미지원,,"80,000"
강진스포츠클럽,김명남,061-433-7333,전남 강진군 군동면 종합운동장길 60 강진스포츠클럽,1명,1576 ㎡,수영,"지체, 청각/언어, 지적/자폐",[12월] 장애인수영교실,18:30 ~ 20:00,"월,금",송인배,2020.12.01 ~ 2020.12.10,미지원,,"80,000"
강진스포츠클럽,김명남,061-433-7333,전남 강진군 군동면 종합운동장길 60 강진스포츠클럽,1명,1576 ㎡,축구,"지체, 청각/언어, 지적/자폐",[12월] 장애인축구교실,10:00 ~ 12:00,"화,목",고준영,2020.12.01 ~ 2020.12.10,미지원,,"80,000"
강진스포츠클럽,김명남,061-433-7333,전남 강진군 군동면 종합운동장길 60 강진스포츠클럽,1명,1576 ㎡,테니스,"지체, 지적/자폐",[12월] 장애인테니스교실,15:00 ~ 17:00,"화,수,목",최혜지,2020.12.01 ~ 2020.12.10,미지원,,"80,000"
강호합기도,곽병철,053-954-0400,"대구광역시 북구 복현로 71 1단지 상가 5층(복현동, 복현블루밍브라운스톤 명문세가아파트)",1명,117 ㎡,합기도,기타,[12월] 합기도,14:00 ~ 22:30,"월,화,수,목,금",곽병철,2020.12.01 ~ 2020.12.10,지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역,주출입구 단차없음,시각장애인 편의서비스,청각장애인 편의서비스","80,000"
강호합기도본관(지저동),강성대,053-983-0400,대구광역시 동구 해동로 25 새마을금고 4층 강호합기도(지저동),3명,311 ㎡,합기도,"지체, 지적/자폐, 기타",[12월] 강호합기도본관(지저동),02:00 ~ 09:30,"월,화,수,목,금",강성대,2020.12.01 ~ 2020.12.10,지원,,"80,000"
거북이운동센터,곽정익,043-221-5526,충청북도 청주시 상당구 중고개로 285 4층(금천동),3명,330 ㎡,기타종목,"지체, 시각, 청각/언어, 지적/자폐, 뇌병변",[12월] 심리운동교실,13:20 ~ 14:00,화,곽정익,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역,주출입구 단차없음,시각장애인 편의서비스","80,000"
거북이운동센터,곽정익,043-221-5526,충청북도 청주시 상당구 중고개로 285 4층(금천동),3명,330 ㎡,기타종목,"지체, 시각, 청각/언어, 지적/자폐, 뇌병변, 기타",[12월] 재활체육교실,14:00 ~ 14:40,목,곽정익,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역,주출입구 단차없음,시각장애인 편의서비스","80,000"
거북이운동언어심리센터,곽정익,043-848-5526,충청북도 충주시 동수2길 45 3층,2명,310 ㎡,헬스,"지체, 시각, 청각/언어, 지적/자폐, 뇌병변, 기타",[12월] 우리모두 몸짱(헬스),13:00 ~ 13:40,화,"곽정익,,장영재",2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인용 엘리베이터,주출입구 단차없음,휠체어 대여,시각장애인 편의서비스","80,000"
거북이운동언어심리센터,곽정익,043-848-5526,충청북도 충주시 동수2길 45 3층,2명,310 ㎡,기타종목,"지체, 시각, 청각/언어, 지적/자폐, 기타",[12월] 으라차차(역도),13:00 ~ 13:40,월,곽정익,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인용 엘리베이터,주출입구 단차없음,휠체어 대여,시각장애인 편의서비스","80,000"
거북이운동언어심리센터,곽정익,043-848-5526,충청북도 충주시 동수2길 45 3층,2명,310 ㎡,기타종목,"지체, 시각, 청각/언어, 지적/자폐, 뇌병변, 기타",[12월] 재활운동교실,14:00 ~ 14:40,금,"곽정익,,장영재",2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인용 엘리베이터,주출입구 단차없음,휠체어 대여,시각장애인 편의서비스","80,000"
거산MMA태권도장,진민석,02-3275-1212,서울시 서대문구 세검정로 89 MKA빌딩 2층,1명,100 ㎡,복싱,지체,[12월] 격투기,13:00 ~ 16:00,"월,화,수,목,금",진민석,2020.12.01 ~ 2020.12.10,미지원,,"130,000"
거산MMA태권도장,진민석,02-3275-1212,서울시 서대문구 세검정로 89 MKA빌딩 2층,1명,100 ㎡,복싱,지체,[12월] 격투기,14:00 ~ 15:00,화,진민석,2020.12.01 ~ 2020.12.10,미지원,,"130,000"
거제시장애인복지관,윤숙이,055-633-2942,경상남도 거제시 양정1길 45 성우샤인빌 601호(양정동),0명,5005 ㎡,기타종목,"지체, 청각/언어, 지적/자폐, 뇌병변, 기타",[12월] 뉴스포츠,11:00 ~ 12:00,토,김동현,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역,주출입구 단차없음,휠체어 대여","25,000"
거제시장애인복지관,윤숙이,055-633-2942,경상남도 거제시 양정1길 45 성우샤인빌 601호(양정동),0명,5005 ㎡,배드민턴,"지체, 청각/언어, 지적/자폐",[12월] 배드민턴반,15:30 ~ 16:30,월,김정숙,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역,주출입구 단차없음,휠체어 대여","25,000"
거제시장애인복지관,윤숙이,055-633-2942,경상남도 거제시 양정1길 45 성우샤인빌 601호(양정동),0명,5005 ㎡,수영,"지체, 시각, 청각/언어, 지적/자폐, 뇌병변, 기타",[12월] 수영반,17:00 ~ 18:00,화,강상욱,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역,주출입구 단차없음,휠체어 대여","25,000"
